source,target,score
UBERON_0000946,M0009974,0.8951075287154484
UBERON_0000946,M0001553,0.7899970343816757
UBERON_0000946,M0021947,0.775843947602538
UBERON_0000946,M0013957,0.7529294571269465
UBERON_0000946,M0018141,0.7524421526078588
UBERON_0000946,M0009975,0.7081045084446497
UBERON_0000946,M0009936,0.6575859879290918
UBERON_0000946,M0501519,0.6519339614035948
UBERON_0000946,M0007395,0.633777863720147
UBERON_0000946,M0004331,0.6221130590403416
UBERON_0000948,M0009936,0.8828456835766528
UBERON_0000948,M0009975,0.7867181266682871
UBERON_0000948,M0014344,0.7589440096199991
UBERON_0000948,M0009948,0.7378991412921085
UBERON_0000948,M0400427,0.7089605083213489
UBERON_0000948,M0009974,0.6903945114342181
UBERON_0000948,M0009941,0.6829356747131596
UBERON_0000948,M0009969,0.6522718022396677
UBERON_0000948,M0016307,0.6297013928667392
UBERON_0000948,M0007395,0.6272114878874034
UBERON_0001621,M0009975,0.6201515629194876
UBERON_0001621,M0009936,0.5875836751569566
UBERON_0001621,M0022051,0.5786251772042412
UBERON_0001621,M0009948,0.561646632964875
UBERON_0001621,M0009941,0.5557852112426515
UBERON_0001621,M0014344,0.5517411986046986
UBERON_0001621,M0001553,0.5209113355571088
UBERON_0001621,M0009974,0.5105690690071504
UBERON_0001621,M0003026,0.5050128562395365
UBERON_0001625,M0009975,0.5341769587897004
UBERON_0001625,M0009941,0.5203662421879349
UBERON_0001625,M0003026,0.5162670929324418
UBERON_0001625,M0022051,0.5096823562674555
UBERON_0001626,M0328425,0.5210167663030043
UBERON_0001626,M0022051,0.5144377413965013
UBERON_0001626,M0001553,0.509970548403072
UBERON_0001626,M0009975,0.5052493831182596
UBERON_0002078,M0009941,0.8679965989716494
UBERON_0002078,M0009975,0.7471290167209375
UBERON_0002078,M0501516,0.7212983687369335
UBERON_0002078,M0009936,0.668801605099128
UBERON_0002078,M0009969,0.6643582620736551
UBERON_0002078,M0501517,0.6403517583649416
UBERON_0002078,M0328425,0.6386143186194769
UBERON_0002078,M0019898,0.6367821306034719
UBERON_0002078,M0001928,0.627216992544534
UBERON_0002078,M0021947,0.6241289885005924
UBERON_0002079,M0009941,0.8270642653820302
UBERON_0002079,M0009975,0.7398134223944096
UBERON_0002079,M0501516,0.7088496580247703
UBERON_0002079,M0009936,0.6778103050769155
UBERON_0002079,M0009969,0.6546201975545742
UBERON_0002079,M0328425,0.6394372348245272
UBERON_0002079,M0501517,0.62174449072908
UBERON_0002079,M0009974,0.6198772086017772
UBERON_0002079,M0001928,0.6077377480563673
UBERON_0002079,M0013957,0.5999044615264184
UBERON_0002080,M0009975,0.8375582952907661
UBERON_0002080,M0009936,0.7092950599429949
UBERON_0002080,M0501517,0.6989776630686834
UBERON_0002080,M0009941,0.6788965003488245
UBERON_0002080,M0009969,0.6668935665627375
UBERON_0002080,M0018141,0.6578970730010586
UBERON_0002080,M0009974,0.6514635224132891
UBERON_0002080,M0021947,0.6319376180624854
UBERON_0002080,M0022051,0.5926045864180312
UBERON_0002080,M0501516,0.5791617534080825
UBERON_0002081,M0009941,0.9315622390397912
UBERON_0002081,M0009975,0.7613157564913422
UBERON_0002081,M0501516,0.7513272960372859
UBERON_0002081,M0009969,0.7076583455577864
UBERON_0002081,M0009936,0.7018923452553143
UBERON_0002081,M0001928,0.6716277339143852
UBERON_0002081,M0019898,0.6602062968292052
UBERON_0002081,M0328425,0.6568791330702136
UBERON_0002081,M0501517,0.6554116544352728
UBERON_0002081,M0009974,0.6280914514735411
UBERON_0002082,M0009975,0.8876924833418323
UBERON_0002082,M0009936,0.8056183595853792
UBERON_0002082,M0501517,0.7266409205108112
UBERON_0002082,M0009941,0.7160548520592118
UBERON_0002082,M0014344,0.7024552933538161
UBERON_0002082,M0009974,0.6858271386691194
UBERON_0002082,M0009969,0.6850363316182889
UBERON_0002082,M0007395,0.6439509503274201
UBERON_0002082,M0009948,0.6287411708298974
UBERON_0002082,M0400427,0.6121805758676612
UBERON_0002084,M0009975,0.8462312456721907
UBERON_0002084,M0009936,0.7634956313248729
UBERON_0002084,M0009974,0.6864729521068298
UBERON_0002084,M0009941,0.6522769556066708
UBERON_0002084,M0501517,0.6511668387600974
UBERON_0002084,M0014344,0.628946909077118
UBERON_0002084,M0009969,0.6211806816078959
UBERON_0002084,M0018141,0.6113060871427731
UBERON_0002084,M0001553,0.5904796894930278
UBERON_0002084,M0009948,0.58294605106549
UBERON_0002094,M0501517,0.9067284719430262
UBERON_0002094,M0009969,0.8803075682222624
UBERON_0002094,M0501516,0.816697901808142
UBERON_0002094,M0009975,0.7029149237408717
UBERON_0002094,M0501519,0.6275871708525738
UBERON_0002094,M0009936,0.6229434480886102
UBERON_0002094,M0003026,0.618633121586525
UBERON_0002094,M0022051,0.6052928682221412
UBERON_0002094,M0009948,0.5836459625568814
UBERON_0002094,M0009941,0.5798041209146165
UBERON_0002099,M0009969,0.9221485516746681
UBERON_0002099,M0501517,0.8657804192835941
UBERON_0002099,M0501516,0.8628982744729682
UBERON_0002099,M0501519,0.7174448112897935
UBERON_0002099,M0009975,0.6675815259756807
UBERON_0002099,M0009936,0.6364132312637795
UBERON_0002099,M0022051,0.6171488691153187
UBERON_0002099,M0009941,0.606959741105594
UBERON_0002099,M0009974,0.5974663632711
UBERON_0002099,M0016307,0.5962071359318214
UBERON_0002133,M0009974,0.8081455360521058
UBERON_0002133,M0001553,0.7411390961753727
UBERON_0002133,M0021947,0.7386255777176378
UBERON_0002133,M0013957,0.7307047536701745
UBERON_0002133,M0009941,0.716155738064753
UBERON_0002133,M0009975,0.6926121111541205
UBERON_0002133,M0018141,0.6816996382808944
UBERON_0002133,M0001928,0.6784049512390634
UBERON_0002133,M0501517,0.6449662819391094
UBERON_0002133,M0004331,0.6358064105141392
UBERON_0002134,M0021947,0.9500589454785835
UBERON_0002134,M0018141,0.7205622344437429
UBERON_0002134,M0009974,0.717856323546229
UBERON_0002134,M0001553,0.6966520494988254
UBERON_0002134,M0013957,0.6918942746569502
UBERON_0002134,M0009975,0.6757794873780154
UBERON_0002134,M0501517,0.6424403636449018
UBERON_0002134,M0009941,0.6297116000711832
UBERON_0002134,M0004331,0.6220997547365471
UBERON_0002134,M0009969,0.6203597196768008
UBERON_0002135,M0013957,0.9395672986168366
UBERON_0002135,M0009974,0.7597467772930843
UBERON_0002135,M0001553,0.7148270621354936
UBERON_0002135,M0018141,0.7133980052450406
UBERON_0002135,M0021947,0.6966636604534582
UBERON_0002135,M0009975,0.6573098667077992
UBERON_0002135,M0501517,0.6166272152112039
UBERON_0002135,M0009936,0.6071274918985098
UBERON_0002135,M0009969,0.6067923045924634
UBERON_0002135,M0015833,0.5925250174466598
UBERON_0002137,M0001553,0.937420759798304
UBERON_0002137,M0009974,0.772373512933494
UBERON_0002137,M0018141,0.7572195555554477
UBERON_0002137,M0021947,0.7037050446868164
UBERON_0002137,M0013957,0.6913420468023791
UBERON_0002137,M0009975,0.6490496580322678
UBERON_0002137,M0009936,0.5860359942769946
UBERON_0002137,M0501519,0.585360537438724
UBERON_0002137,M0501517,0.5814891873913143
UBERON_0002137,M0009941,0.5737471965226106
UBERON_0002146,M0018141,0.9374499054128261
UBERON_0002146,M0009974,0.7469895843815036
UBERON_0002146,M0001553,0.6736596655199679
UBERON_0002146,M0013957,0.671412574838262
UBERON_0002146,M0009975,0.6561276070507213
UBERON_0002146,M0021947,0.651617104767907
UBERON_0002146,M0501517,0.6105302983295029
UBERON_0002146,M0009969,0.577822476184669
UBERON_0002146,M0009936,0.5603093029687529
UBERON_0002146,M0009968,0.5520727374948399
UBERON_0002348,M0016307,0.8156681824027473
UBERON_0002348,M0007395,0.7272201670967076
UBERON_0002348,M000605189,0.6752901756803245
UBERON_0002348,M0501519,0.578075566389056
UBERON_0002348,M0009936,0.5719736900336679
UBERON_0002348,M0014344,0.5689249077701384
UBERON_0002348,M0009975,0.551192407558029
UBERON_0002348,M0400427,0.5226273524921908
UBERON_0002348,M0009941,0.5162046259032163
UBERON_0002348,M0004331,0.5103774127398897
UBERON_0002351,M0019898,0.9032835804085706
UBERON_0002351,M0001928,0.7734179688177495
UBERON_0002351,M0009948,0.7102512370025014
UBERON_0002351,M0009936,0.599001434038114
UBERON_0002351,M0003026,0.5895632258656127
UBERON_0002351,M0501516,0.5745285803503126
UBERON_0002351,M0009941,0.5523230038895506
UBERON_0002351,M0009975,0.5419977440708665
UBERON_0002351,M0009969,0.5286035230707478
UBERON_0002351,M0018172,0.5245863672435565
UBERON_0002352,M0001928,0.9238445195796999
UBERON_0002352,M0019898,0.803378255253344
UBERON_0002352,M0009948,0.7166702051914771
UBERON_0002352,M0003026,0.6487108875245142
UBERON_0002352,M0009941,0.6224761549325846
UBERON_0002352,M0009936,0.6147360324945752
UBERON_0002352,M0501516,0.607498020503367
UBERON_0002352,M0009975,0.5947288966620266
UBERON_0002352,M0018172,0.5863985141084005
UBERON_0002352,M0501517,0.5683857013360338
UBERON_0002353,M0003026,0.9472544260220747
UBERON_0002353,M0009948,0.7323126114439042
UBERON_0002353,M0001928,0.7029615616923155
UBERON_0002353,M0018172,0.6667971831730073
UBERON_0002353,M0019898,0.6188354105849072
UBERON_0002353,M0009975,0.6078351822826903
UBERON_0002353,M0009936,0.6074598587085108
UBERON_0002353,M0501517,0.5891101070844451
UBERON_0002353,M0009969,0.587684795591054
UBERON_0002353,M0014344,0.576536757484013
UBERON_0002494,M0015833,0.9336321878803069
UBERON_0002494,M0004331,0.7259088533722581
UBERON_0002494,M0009975,0.6956216199835941
UBERON_0002494,M0009936,0.6786163979536891
UBERON_0002494,M0014344,0.6690546845310247
UBERON_0002494,M0013957,0.6368360151255991
UBERON_0002494,M0501517,0.6284834652821891
UBERON_0002494,M0009974,0.6280905564826557
UBERON_0002494,M0021947,0.6159869353315981
UBERON_0002494,M0018172,0.6152559714195186
UBERON_0003379,M0014344,0.7754716897533868
UBERON_0003379,M0009941,0.7586068697121241
UBERON_0003379,M0009936,0.7458527922674677
UBERON_0003379,M0009975,0.7125722920836786
UBERON_0003379,M0501516,0.6772770844400551
UBERON_0003379,M0400427,0.6547358821406072
UBERON_0003379,M0009969,0.6223224533118958
UBERON_0003379,M0015833,0.6164039994112112
UBERON_0003379,M0009948,0.5976552394922803
UBERON_0003379,M0019898,0.5936422850580669
UBERON_0003383,M0501517,0.7847364437079459
UBERON_0003383,M0009969,0.7832194675545144
UBERON_0003383,M0014344,0.7543856586838531
UBERON_0003383,M0501516,0.7393866548885012
UBERON_0003383,M0009936,0.6957101104494623
UBERON_0003383,M0009975,0.6729480710861794
UBERON_0003383,M0400427,0.6673724582301928
UBERON_0003383,M0501519,0.6310293380537366
UBERON_0003383,M0015833,0.6035286653203142
UBERON_0003383,M0003026,0.6014998927773477
UBERON_0003498,M0009975,0.723045279699841
UBERON_0003498,M0009974,0.7164125041669516
UBERON_0003498,M0009936,0.6704260040880105
UBERON_0003498,M0007395,0.6352737507026924
UBERON_0003498,M0009941,0.630923324794844
UBERON_0003498,M0009948,0.5923219005537498
UBERON_0003498,M0014344,0.5915468185835895
UBERON_0003498,M0009969,0.5848544218869083
UBERON_0003498,M0501517,0.5683603736330827
UBERON_0003498,M0016307,0.5681800085134495
UBERON_0004145,M0022051,0.7017835870399204
UBERON_0004145,M0009975,0.612472791640803
UBERON_0004145,M0501517,0.5938282821542029
UBERON_0004145,M0009968,0.5886398894562638
UBERON_0004145,M0009974,0.565652952836869
UBERON_0004145,M0501519,0.5654781934190797
UBERON_0004145,M0008401,0.5601415660801556
UBERON_0004145,M0009969,0.5543593866792251
UBERON_0004145,M0021947,0.5496680254238978
UBERON_0004145,M0009941,0.5484341990520024
UBERON_0004148,M0009975,0.6835721126420178
UBERON_0004148,M0009941,0.6296906750215376
UBERON_0004148,M0009974,0.6283271557196841
UBERON_0004148,M0009936,0.5893149764454984
UBERON_0004148,M0501517,0.5646860923251776
UBERON_0004148,M0009969,0.5612583709686496
UBERON_0004148,M0009948,0.5503736670779105
UBERON_0004148,M0501516,0.5406352959233758
UBERON_0004148,M0014344,0.5317046827828786
UBERON_0004148,M0021947,0.5299472783787124
UBERON_0004151,M0009975,0.7765706589173039
UBERON_0004151,M0009936,0.7454595387011236
UBERON_0004151,M0009941,0.7397649722356208
UBERON_0004151,M0009974,0.6793702238308877
UBERON_0004151,M0009969,0.6584476659126889
UBERON_0004151,M0009948,0.6367255336986521
UBERON_0004151,M0501519,0.6268032016632937
UBERON_0004151,M0007395,0.6266508061585206
UBERON_0004151,M0014344,0.6232524629254043
UBERON_0004151,M0501517,0.6224774602283706
UBERON_0005208,M0021947,0.8888626483119854
UBERON_0005208,M0009974,0.6989779044521742
UBERON_0005208,M0009941,0.6917415106873789
UBERON_0005208,M0018141,0.6828187573036113
UBERON_0005208,M0009975,0.6666325841840652
UBERON_0005208,M0013957,0.665267667049057
UBERON_0005208,M0001553,0.6576634062957089
UBERON_0005208,M0501516,0.6255160193440269
UBERON_0005208,M0004331,0.6187477349208591
UBERON_0005208,M0501517,0.6099332327230905
UBERON_0005337,M0009975,0.7017905449546986
UBERON_0005337,M0501517,0.6365115526382692
UBERON_0005337,M0022051,0.6332008810883493
UBERON_0005337,M0009974,0.6022844053182279
UBERON_0005337,M0018141,0.5927034299375282
UBERON_0005337,M0009968,0.574329126754463
UBERON_0005337,M0021947,0.5695420301416506
UBERON_0005337,M0009941,0.557851555424665
UBERON_0005337,M0009969,0.5499337711434157
UBERON_0005337,M0009936,0.5498208639119297
UBERON_0005438,M0019898,0.638390214791022
UBERON_0005438,M0009975,0.633973337637225
UBERON_0005438,M0009941,0.6270372408730521
UBERON_0005438,M0501516,0.6228877015919223
UBERON_0005438,M0009969,0.6062328423301954
UBERON_0005438,M0501517,0.6050775186722109
UBERON_0005438,M0009948,0.5741966981448828
UBERON_0005438,M0022051,0.5693910924655288
UBERON_0005438,M0009936,0.5646773298654236
UBERON_0005438,M0009974,0.5582424604820283
UBERON_0005623,M0018141,0.8098494865196456
UBERON_0005623,M0009974,0.780939621744441
UBERON_0005623,M0001553,0.6969924538343248
UBERON_0005623,M0013957,0.6771062460689901
UBERON_0005623,M0009975,0.6564974949548571
UBERON_0005623,M0501517,0.6133544606468695
UBERON_0005623,M0021947,0.6099116889951738
UBERON_0005623,M0009969,0.5819296200074202
UBERON_0005623,M0501519,0.5669920523170999
UBERON_0005623,M0009936,0.5532190340523728
UBERON_0005946,M0009941,0.7044789759734912
UBERON_0005946,M0328425,0.647376632918595
UBERON_0005946,M0022051,0.6186019209555382
UBERON_0005946,M0009975,0.6076305891937313
UBERON_0005946,M0501516,0.5952148263899228
UBERON_0005946,M0001928,0.5692999080683089
UBERON_0005946,M0501517,0.5692489000230355
UBERON_0005946,M0009969,0.5504099061585401
UBERON_0005946,M0009968,0.546647450971489
UBERON_0005946,M0009936,0.5402631137871016
UBERON_0005956,M0009975,0.5974559551639254
UBERON_0005956,M0022051,0.5858183088345585
UBERON_0005956,M0501517,0.5791210851657501
UBERON_0005956,M0009968,0.5468439553094768
UBERON_0005956,M0001553,0.5405835929854146
UBERON_0005956,M0009974,0.5332688094264575
UBERON_0005956,M0018141,0.5102708600111663
UBERON_0005956,M0328425,0.5074835421984724
UBERON_0005956,M0013957,0.5057631923821686
UBERON_0005965,M0009941,0.7245547203055003
UBERON_0005965,M0009975,0.6692090370274738
UBERON_0005965,M0021947,0.668405209050487
UBERON_0005965,M0501516,0.6387220095167224
UBERON_0005965,M0022051,0.6294824377581723
UBERON_0005965,M0501517,0.6260138846795434
UBERON_0005965,M0009969,0.6046404481274459
UBERON_0005965,M0328425,0.5995237448980797
UBERON_0005965,M0009974,0.5718079865097013
UBERON_0005965,M0018141,0.5613175283318651
UBERON_0005966,M0009941,0.7130008709954984
UBERON_0005966,M0009975,0.6713447873323304
UBERON_0005966,M0328425,0.6245321045757328
UBERON_0005966,M0501516,0.6202866759240377
UBERON_0005966,M0501517,0.6005552508403573
UBERON_0005966,M0009936,0.5937814405524561
UBERON_0005966,M0013957,0.5917444696056652
UBERON_0005966,M0009969,0.5845942600679496
UBERON_0005966,M0022051,0.5716460970179875
UBERON_0005966,M0009974,0.5715954460884987
UBERON_0005985,M0009975,0.6756888140499113
UBERON_0005985,M0009941,0.6005565017313177
UBERON_0005985,M0009936,0.5930899919860185
UBERON_0005985,M0009974,0.5930472091794994
UBERON_0005985,M0014344,0.56171212255264
UBERON_0005985,M0501517,0.542112478048016
UBERON_0005985,M0009969,0.5354821034852784
UBERON_0005985,M0007395,0.5351858508734297
UBERON_0005985,M0022051,0.5279290626613
UBERON_0005985,M0009948,0.5188977641000797
UBERON_0006566,M0014344,0.8549649099383029
UBERON_0006566,M0009936,0.7787313326428404
UBERON_0006566,M0009975,0.7487366221423322
UBERON_0006566,M0400427,0.710762810401956
UBERON_0006566,M0501517,0.6238812319072086
UBERON_0006566,M0007395,0.6208259927974278
UBERON_0006566,M0400431,0.6015213008658343
UBERON_0006566,M0015833,0.5981658730675036
UBERON_0006566,M0003026,0.5874715067793633
UBERON_0006566,M0018172,0.580493269047409
UBERON_0006567,M0014344,0.7859982894612196
UBERON_0006567,M0009975,0.7784708886633526
UBERON_0006567,M0009936,0.7422412278930377
UBERON_0006567,M0501517,0.6644563355957731
UBERON_0006567,M0400427,0.6333298103779607
UBERON_0006567,M0009969,0.6196904935217415
UBERON_0006567,M0015833,0.6135279972965534
UBERON_0006567,M0009941,0.6046673169201191
UBERON_0006567,M0003026,0.5997853985533638
UBERON_0006567,M0018141,0.5880254585270632
UBERON_0006958,M0009975,0.6487141302023683
UBERON_0006958,M0009941,0.5864274628982762
UBERON_0006958,M0501517,0.5775137264620587
UBERON_0006958,M0009974,0.572204634533648
UBERON_0006958,M0009936,0.5483222627892739
UBERON_0006958,M0501516,0.5415742617907259
UBERON_0006958,M0009969,0.5367978395278726
UBERON_0006958,M0022051,0.5317498358726772
UBERON_0006958,M0003026,0.5296042908794579
UBERON_0006958,M0007395,0.5212851696397728
UBERON_0009687,M0009975,0.6527609379354161
UBERON_0009687,M0501517,0.6084805203564607
UBERON_0009687,M0009941,0.584228962387531
UBERON_0009687,M0009969,0.5714068266787845
UBERON_0009687,M0501516,0.5701182712119697
UBERON_0009687,M0009936,0.565264146465955
UBERON_0009687,M0009974,0.5533360976598662
UBERON_0009687,M0003026,0.5348906632598022
UBERON_0009687,M0014344,0.5346831682909227
UBERON_0009687,M0013957,0.532073161546983
UBERON_0011820,M0001928,0.8318746744712296
UBERON_0011820,M0009941,0.7291452753140445
UBERON_0011820,M0019898,0.6996717458453925
UBERON_0011820,M0003026,0.6935998165657635
UBERON_0011820,M0501516,0.6879971824321682
UBERON_0011820,M0009975,0.6811614418474239
UBERON_0011820,M0009948,0.6767340015106079
UBERON_0011820,M0501517,0.6637227575592637
UBERON_0011820,M0009969,0.6547414855044187
UBERON_0011820,M0009936,0.6370341215601769
UBERON_0018674,M0009936,0.7460749643669335
UBERON_0018674,M0009975,0.7406517541370473
UBERON_0018674,M0009974,0.6818920293320352
UBERON_0018674,M0014344,0.6761410474548685
UBERON_0018674,M0007395,0.6618343066657377
UBERON_0018674,M0009941,0.6256210646319205
UBERON_0018674,M0009948,0.6199571136315638
UBERON_0018674,M0016307,0.6198801907058492
UBERON_0018674,M0009969,0.5911042853878226
UBERON_0018674,M0501517,0.5886483744351336
UBERON_0035374,M0009975,0.6381329722954442
UBERON_0035374,M0009941,0.5832038286630382
UBERON_0035374,M0501517,0.5705225797300845
UBERON_0035374,M0009974,0.5474265136848063
UBERON_0035374,M0501516,0.5372871460634375
UBERON_0035374,M0009969,0.5357038543294032
UBERON_0035374,M0009936,0.533681354696944
UBERON_0035374,M0021947,0.5150906168019606
UBERON_0035374,M0019898,0.5124477588676145
UBERON_0035374,M0001928,0.5043948295051416
UBERON_0035422,M0022051,0.553896254745712
UBERON_0035422,M0009975,0.5258935983046118
UBERON_0035422,M0328425,0.5064910266348296
UBERON_0035553,M0009975,0.8250940541922993
UBERON_0035553,M0009941,0.7834111311335887
UBERON_0035553,M0009936,0.7543164476518717
UBERON_0035553,M0009969,0.6733014014342482
UBERON_0035553,M0501517,0.6708395747309434
UBERON_0035553,M0009974,0.660070739746487
UBERON_0035553,M0501516,0.6467335766452258
UBERON_0035553,M0014344,0.6433942884007203
UBERON_0035553,M0501519,0.6206050899962123
UBERON_0035553,M0009948,0.6175658919030816
UBERON_0035554,M0009975,0.8308374172899468
UBERON_0035554,M0009941,0.7740789762162957
UBERON_0035554,M0009936,0.7221814139457816
UBERON_0035554,M0009969,0.7158107988380755
UBERON_0035554,M0501517,0.7029321002094665
UBERON_0035554,M0501516,0.6804623699492413
UBERON_0035554,M0018141,0.648856266773716
UBERON_0035554,M0009974,0.6369868618992839
UBERON_0035554,M0009948,0.6269116150741667
UBERON_0035554,M0021947,0.6267089023155317
